Coefficient,Functional,Distance,Screen,Value
2,quartile3,close,off,0.05392124
3,quartile3,close,off,-1.35183
4,quartile3,close,off,-0.07187192
5,quartile3,close,off,-1.129342
6,quartile3,close,off,3.461637
7,quartile3,close,off,1.221313
8,quartile3,close,off,1.243482
9,quartile3,close,off,3.609466
10,quartile3,close,off,1.037195
11,quartile3,close,off,1.068086
12,quartile3,close,off,0.1161468
1,range,close,off,41.41216
2,range,close,off,61.48347
3,range,close,off,61.05254
4,range,close,off,48.28682
5,range,close,off,64.73991
6,range,close,off,88.92464
7,range,close,off,58.45771
8,range,close,off,62.0989
9,range,close,off,51.5295
10,range,close,off,61.0821
11,range,close,off,60.26875
12,range,close,off,45.33717
1,stddev,close,off,4.567636
2,stddev,close,off,6.732382
3,stddev,close,off,7.128882
4,stddev,close,off,6.034297
5,stddev,close,off,7.713661
6,stddev,close,off,9.892449
7,stddev,close,off,6.131989
8,stddev,close,off,7.501519
9,stddev,close,off,6.012933
10,stddev,close,off,6.480308
11,stddev,close,off,7.020737
12,stddev,close,off,5.846585
1,amean,far,off,0.2064304
2,amean,far,off,-4.115745
3,amean,far,off,-3.357895
4,amean,far,off,-2.94091
5,amean,far,off,-2.140842
6,amean,far,off,1.679863
7,amean,far,off,-0.912206
8,amean,far,off,-3.80722
9,amean,far,off,-2.285734
10,amean,far,off,-4.655391
11,amean,far,off,-2.439173
12,amean,far,off,-3.451419
1,max,far,off,12.96868
2,max,far,off,12.85761
3,max,far,off,23.79222
4,max,far,off,16.77973
5,max,far,off,40.91364
6,max,far,off,17.32984
7,max,far,off,20.64468
8,max,far,off,14.383
9,max,far,off,13.94179
10,max,far,off,27.33283
11,max,far,off,22.25884
12,max,far,off,13.32446
1,maxPos,far,off,767
2,maxPos,far,off,509
3,maxPos,far,off,582
4,maxPos,far,off,788
5,maxPos,far,off,1141
6,maxPos,far,off,351
7,maxPos,far,off,695
8,maxPos,far,off,758
9,maxPos,far,off,568
10,maxPos,far,off,1006
11,maxPos,far,off,733
12,maxPos,far,off,697
1,min,far,off,-15.93909
2,min,far,off,-26.05566
3,min,far,off,-24.65895
4,min,far,off,-22.39226
5,min,far,off,-40.19076
6,min,far,off,-50.78668
7,min,far,off,-32.00941
8,min,far,off,-40.13645
9,min,far,off,-44.65149
10,min,far,off,-26.92198
11,min,far,off,-30.68669
12,min,far,off,-31.0794
1,minPos,far,off,663
2,minPos,far,off,597
3,minPos,far,off,1119
4,minPos,far,off,686
5,minPos,far,off,584
6,minPos,far,off,595
7,minPos,far,off,631
8,minPos,far,off,610
9,minPos,far,off,584
10,minPos,far,off,612
11,minPos,far,off,583
12,minPos,far,off,868
1,quartile1,far,off,-2.154691
2,quartile1,far,off,-6.579805
3,quartile1,far,off,-5.880419
4,quartile1,far,off,-5.281786
5,quartile1,far,off,-4.557301
6,quartile1,far,off,-0.3125742
7,quartile1,far,off,-3.916332
8,quartile1,far,off,-6.756359
9,quartile1,far,off,-5.24214
10,quartile1,far,off,-8.335426
11,quartile1,far,off,-5.602835
12,quartile1,far,off,-6.51844
1,quartile2,far,off,0.6508647
2,quartile2,far,off,-4.074307
3,quartile2,far,off,-3.701916
4,quartile2,far,off,-2.591589
5,quartile2,far,off,-1.693464
6,quartile2,far,off,2.834723
7,quartile2,far,off,-0.8166171
8,quartile2,far,off,-2.687853
9,quartile2,far,off,-1.725621
10,quartile2,far,off,-4.741808
11,quartile2,far,off,-2.096792
12,quartile2,far,off,-2.757519
1,quartile3,far,off,2.589866
2,quartile3,far,off,-0.9121522
3,quartile3,far,off,-1.551165
4,quartile3,far,off,-0.06465906
5,quartile3,far,off,1.008649
6,quartile3,far,off,5.683338
7,quartile3,far,off,2.521992
8,quartile3,far,off,0.7630249
9,quartile3,far,off,1.778972
10,quartile3,far,off,-1.185863
11,quartile3,far,off,1.285224
12,quartile3,far,off,0.4076572
1,range,far,off,28.90778
2,range,far,off,38.91326
3,range,far,off,48.45117
4,range,far,off,39.17199
5,range,far,off,81.10439
6,range,far,off,68.11652
7,range,far,off,52.65409
8,range,far,off,54.51945
9,range,far,off,58.59328
10,range,far,off,54.25481
11,range,far,off,52.94553
12,range,far,off,44.40386
1,stddev,far,off,3.597066
2,stddev,far,off,4.954051
3,stddev,far,off,5.636547
4,stddev,far,off,4.552696
5,stddev,far,off,6.547675
6,stddev,far,off,7.368401
7,stddev,far,off,5.439419
8,stddev,far,off,7.344372
9,stddev,far,off,6.62991
10,stddev,far,off,5.927771
11,stddev,far,off,5.937344
12,stddev,far,off,5.758986
1,amean,close,on,0.1761362
2,amean,close,on,-3.334873
3,amean,close,on,-3.435544
4,amean,close,on,-4.249566
5,amean,close,on,-4.521859
6,amean,close,on,-2.168351
7,amean,close,on,-3.406367
8,amean,close,on,-2.431724
9,amean,close,on,0.8179141
10,amean,close,on,-4.094186
11,amean,close,on,-4.713079
12,amean,close,on,-3.054499
1,max,close,on,17.93765
2,max,close,on,19.02005
3,max,close,on,28.52
4,max,close,on,16.30351
5,max,close,on,35.89966
6,max,close,on,28.0568
7,max,close,on,17.34411
8,max,close,on,31.2106
9,max,close,on,40.30797
10,max,close,on,22.17212
11,max,close,on,19.44627
12,max,close,on,28.58611
1,maxPos,close,on,609
2,maxPos,close,on,640
3,maxPos,close,on,407
4,maxPos,close,on,1068
5,maxPos,close,on,912
6,maxPos,close,on,724
7,maxPos,close,on,900
8,maxPos,close,on,419
9,maxPos,close,on,898
10,maxPos,close,on,973
11,maxPos,close,on,573
12,maxPos,close,on,910
1,min,close,on,-19.66938
2,min,close,on,-29.97468
3,min,close,on,-31.46636
4,min,close,on,-36.76833
5,min,close,on,-43.11157
6,min,close,on,-60.20396
7,min,close,on,-35.09273
8,min,close,on,-34.37865
9,min,close,on,-19.52425
10,min,close,on,-48.85002
11,min,close,on,-39.21583
12,min,close,on,-25.93792
1,minPos,close,on,400
2,minPos,close,on,458
3,minPos,close,on,911
4,minPos,close,on,572
5,minPos,close,on,479
6,minPos,close,on,458
7,minPos,close,on,406
8,minPos,close,on,481
9,minPos,close,on,404
10,minPos,close,on,517
11,minPos,close,on,698
12,minPos,close,on,478
1,quartile1,close,on,-2.199382
2,quartile1,close,on,-6.420352
3,quartile1,close,on,-7.023952
4,quartile1,close,on,-6.818141
5,quartile1,close,on,-8.067175
6,quartile1,close,on,-4.96273
7,quartile1,close,on,-7.052643
8,quartile1,close,on,-6.381195
9,quartile1,close,on,-3.233485
10,quartile1,close,on,-7.334876
11,quartile1,close,on,-7.685325
12,quartile1,close,on,-6.381612
1,quartile2,close,on,0.3343248
2,quartile2,close,on,-2.773302
3,quartile2,close,on,-3.944941
4,quartile2,close,on,-2.958239
5,quartile2,close,on,-4.560219
6,quartile2,close,on,0.1105482
7,quartile2,close,on,-2.607528
8,quartile2,close,on,-1.886106
9,quartile2,close,on,0.699256
10,quartile2,close,on,-3.038564
11,quartile2,close,on,-3.376903
12,quartile2,close,on,-3.056101
1,quartile3,close,on,2.858644
2,quartile3,close,on,0.47584
3,quartile3,close,on,-1.135793
4,quartile3,close,on,0.08990151
5,quartile3,close,on,-1.04899
6,quartile3,close,on,3.764765
7,quartile3,close,on,1.041766
8,quartile3,close,on,2.318997
9,quartile3,close,on,4.354104
10,quartile3,close,on,0.8566749
11,quartile3,close,on,0.3223245
12,quartile3,close,on,0.3257221
1,range,close,on,37.60703
2,range,close,on,48.99473
3,range,close,on,59.98637
4,range,close,on,53.07184
5,range,close,on,79.01123
6,range,close,on,88.26077
7,range,close,on,52.43684
8,range,close,on,65.58925
9,range,close,on,59.83222
10,range,close,on,71.02215
11,range,close,on,58.6621
12,range,close,on,54.52403
1,stddev,close,on,4.911578
2,stddev,close,on,6.846916
3,stddev,close,on,7.484579
4,stddev,close,on,7.478992
5,stddev,close,on,8.365682
6,stddev,close,on,10.35658
7,stddev,close,on,7.00075
8,stddev,close,on,7.835943
9,stddev,close,on,6.642489
10,stddev,close,on,8.312702
11,stddev,close,on,8.09591
12,stddev,close,on,5.92936
1,amean,far,on,0.03814346
2,amean,far,on,-4.810093
3,amean,far,on,-4.03713
4,amean,far,on,-2.462317
5,amean,far,on,-1.90752
6,amean,far,on,0.4271717
7,amean,far,on,-1.192122
8,amean,far,on,-5.012767
9,amean,far,on,-1.474554
10,amean,far,on,-5.038584
11,amean,far,on,-2.986242
12,amean,far,on,-3.596571
1,max,far,on,18.5621
2,max,far,on,16.26994
3,max,far,on,27.67969
4,max,far,on,20.26714
5,max,far,on,31.17106
6,max,far,on,17.48029
7,max,far,on,34.81044
8,max,far,on,21.02666
9,max,far,on,27.57322
10,max,far,on,19.87269
11,max,far,on,20.71378
12,max,far,on,19.32722
1,maxPos,far,on,574
2,maxPos,far,on,361
3,maxPos,far,on,363
4,maxPos,far,on,594
5,maxPos,far,on,793
6,maxPos,far,on,236
7,maxPos,far,on,436
8,maxPos,far,on,380
9,maxPos,far,on,791
10,maxPos,far,on,430
11,maxPos,far,on,542
12,maxPos,far,on,411
1,min,far,on,-29.5497
2,min,far,on,-40.19818
3,min,far,on,-25.72037
4,min,far,on,-23.35288
5,min,far,on,-37.78783
6,min,far,on,-61.55712
7,min,far,on,-28.88034
8,min,far,on,-46.61986
9,min,far,on,-24.86038
10,min,far,on,-29.92459
11,min,far,on,-24.21309
12,min,far,on,-31.89312
1,minPos,far,on,357
2,minPos,far,on,741
3,minPos,far,on,653
4,minPos,far,on,363
5,minPos,far,on,370
6,minPos,far,on,411
7,minPos,far,on,377
8,minPos,far,on,665
9,minPos,far,on,501
10,minPos,far,on,478
11,minPos,far,on,435
12,minPos,far,on,670
1,quartile1,far,on,-2.357047
2,quartile1,far,on,-7.122789
3,quartile1,far,on,-6.837706
4,quartile1,far,on,-5.312467
5,quartile1,far,on,-5.132809
6,quartile1,far,on,-2.054215
7,quartile1,far,on,-4.086853
8,quartile1,far,on,-8.410695
9,quartile1,far,on,-4.982013
10,quartile1,far,on,-8.851781
11,quartile1,far,on,-6.175083
12,quartile1,far,on,-7.15089
1,quartile2,far,on,0.73522
2,quartile2,far,on,-4.399955
3,quartile2,far,on,-4.369947
4,quartile2,far,on,-2.410036
5,quartile2,far,on,-1.4569
6,quartile2,far,on,2.205102
7,quartile2,far,on,-0.758313
8,quartile2,far,on,-3.576091
9,quartile2,far,on,-1.403785
10,quartile2,far,on,-5.064116
11,quartile2,far,on,-2.615973
12,quartile2,far,on,-2.940295
1,quartile3,far,on,2.77849
2,quartile3,far,on,-1.143917
3,quartile3,far,on,-1.724348
4,quartile3,far,on,0.8038617
5,quartile3,far,on,1.332665
6,quartile3,far,on,6.076561
7,quartile3,far,on,2.55019
8,quartile3,far,on,0.172368
9,quartile3,far,on,2.03289
10,quartile3,far,on,-1.494308
11,quartile3,far,on,1.049163
12,quartile3,far,on,0.5570173
1,range,far,on,48.1118
2,range,far,on,56.46812
3,range,far,on,53.40006
4,range,far,on,43.62002
5,range,far,on,68.95889
6,range,far,on,79.03741
7,range,far,on,63.69078
8,range,far,on,67.64651
9,range,far,on,52.4336
10,range,far,on,49.79728
11,range,far,on,44.92686
12,range,far,on,51.22034
1,stddev,far,on,4.92037
2,stddev,far,on,6.83075
3,stddev,far,on,6.066767
4,stddev,far,on,5.134924
5,stddev,far,on,7.334779
6,stddev,far,on,9.730074
7,stddev,far,on,6.543269
8,stddev,far,on,8.703419
9,stddev,far,on,6.220485
10,stddev,far,on,6.316738
11,stddev,far,on,6.224499
12,stddev,far,on,6.502828
